EdgeDesc,Begin,End,Note
Arrow,4.OA.3,7.NS.3,
Arrow,4.OA.3||no judging reasonableness,4.OA.3,
Arrow,4.OA.4,6.EE.1,
Arrow,4.OA.4,6.NS.4,
Arrow,4.OA.5,5.OA.3,
Nondirectional link,5.G.1,5.G.2,
Arrow,5.G.1,6.NS.6.b,
Arrow,5.G.1,6.NS.6.c,
Arrow,5.G.2,6.G.3,
Arrow,5.G.2,6.NS.8,
Arrow,5.G.2,6.RP.3.a,
Arrow,5.G.3,5.G.4,
Arrow,5.MD.2,6.SP.1,
Arrow,5.MD.2,6.SP.2,
Arrow,5.MD.2,6.SP.4,
Arrow,5.MD.3,5.MD.4,
Arrow,5.MD.3,5.MD.5.a,
Arrow,5.MD.3,5.MD.5.c,
Arrow,5.MD.4,5.MD.5.a,
Arrow,5.MD.5.a,5.MD.5.b,
Arrow,5.MD.5.a,6.G.2,
Arrow,5.MD.5.b,5.MD.5.c,
Arrow,5.MD.5.b,6.G.2,
Arrow,5.NBT.1,5.NBT.2,
Arrow,5.NBT.1,5.NBT.3,
Arrow,5.NBT.1,5.NBT.4,
Arrow,5.NBT.1,5.NBT.5||no fluency,
Arrow,5.NBT.1,5.NBT.6||three-digit dividends,
Arrow,5.NBT.1,5.NBT.7,
Nondirectional link,5.NBT.2,5.NBT.5||no fluency,
Nondirectional link,5.NBT.2,5.NBT.7,
Arrow,5.NBT.2,6.EE.1,
Arrow,5.NBT.2,8.EE.3,
Arrow,5.NBT.3,5.NBT.4,
Arrow,5.NBT.5,5.NBT.6,
Nondirectional link,5.NBT.5,5.NBT.7||no concrete,
Arrow,5.NBT.5,6.NS.3,
Arrow,5.NBT.5||no fluency,5.NBT.5,
Arrow,5.NBT.5||no fluency,5.NBT.6||three-digit dividends,
Nondirectional link,5.NBT.5||no fluency,5.NBT.7,
Nondirectional link,5.NBT.6,5.NBT.7||no concrete,
Arrow,5.NBT.6,6.NS.2,
Arrow,5.NBT.6,6.NS.3,
Arrow,5.NBT.6||three-digit dividends,5.NBT.6,
Nondirectional link,5.NBT.6||three-digit dividends,5.NBT.7,
Arrow,5.NBT.7,5.NBT.7||no concrete,
Arrow,5.NBT.7||no concrete,5.MD.1,
Arrow,5.NBT.7||no concrete,6.NS.3,
Arrow,5.NF.1,5.NBT.7,
Arrow,5.NF.1,5.NF.2||no estimation,
Arrow,5.NF.1,6.EE.7||whole numbers,
Arrow,5.NF.1,7.NS.1.d,
Arrow,5.NF.2,5.MD.2,
Arrow,5.NF.2||no estimation,5.MD.2,
Arrow,5.NF.2||no estimation,5.NF.2,
Nondirectional link,5.NF.3,5.NF.4.a||a/b x n,
Nondirectional link,5.NF.3,5.NF.5,
Arrow,5.NF.3,6.RP.2,
Arrow,5.NF.3,7.NS.2.d,
Arrow,5.NF.4,5.NBT.7,
Arrow,5.NF.4,5.NBT.7||no concrete,
Arrow,5.NF.4,5.NF.5,
Nondirectional link,5.NF.4,5.NF.7,
Arrow,5.NF.4,6.EE.7||whole numbers,
Arrow,5.NF.4,6.G.1,
Arrow,5.NF.4,7.NS.2.c,
Arrow,5.NF.4,7.SP.3,
